clause,true_label,output
"Your Personal Information may be stored and processed in any country where we have facilities or in which we engage service providers, and by using the Services you consent to the transfer of information to countries outside of your country of residence, including the United States, which may have data protection rules that are different from those of your country.",Predatory,"
You are a legal AI system.

Analyze the clause:
""""""Your Personal Information may be stored and processed in any country where we have facilities or in which we engage service providers, and by using the Services you consent to the transfer of information to countries outside of your country of residence, including the United States, which may have data protection rules that are different from those of your country.""""""

Return ONLY JSON:
{
  ""risk_status"": ""..."",
  ""dark_pattern_category"": ""..."",
  ""explanation"": ""..."",
  ""violated_statute"": ""...""
}
Do not add any text outside JSON.

{""risk_status"": ""Dark Pattern"", ""dark_pattern_category"": ""User Rights"", ""explanation"": ""This clause may negatively affect user rights and user control."", ""violated_statute"": ""GDPR""}"
"We don’t knowingly collect or solicit personal information from children. If you are a child under 18, please do not attempt to register for Honey’s products or send any personal information to us.",Predatory,"
You are a legal AI system.

Analyze the clause:
""""""We don’t knowingly collect or solicit personal information from children. If you are a child under 18, please do not attempt to register for Honey’s products or send any personal information to us.""""""

Return ONLY JSON:
{
  ""risk_status"": ""..."",
  ""dark_pattern_category"": ""..."",
  ""explanation"": ""..."",
  ""violated_statute"": ""...""
}
Do not add any text outside JSON.

{""risk_status"": ""Caution"", ""dark_pattern_category"": ""User Rights"", ""explanation"": ""This clause may negatively affect user rights and user control."", ""violated_statute"": ""GDPR""}"
"Welcome! These terms of use are deliberately written in non-legalistic human-friendly language. Please take a spin through them! They're made to make your experience better, and to help you understand our philosophy and values.",Predatory,"
You are a legal AI system.

Analyze the clause:
""""""Welcome! These terms of use are deliberately written in non-legalistic human-friendly language. Please take a spin through them! They're made to make your experience better, and to help you understand our philosophy and values.""""""

Return ONLY JSON:
{
  ""risk_status"": ""..."",
  ""dark_pattern_category"": ""..."",
  ""explanation"": ""..."",
  ""violated_statute"": ""...""
}
Do not add any text outside JSON.

{""risk_status"": ""Caution"", ""dark_pattern_category"": ""User Rights"", ""explanation"": ""This clause may negatively affect user rights and user control."", ""violated_statute"": ""GDPR principles""}

{""risk_status"": ""Normal"", ""dark_pattern_category"": ""Tracking & Privacy"", ""explanation"": ""This clause may affect user tracking and user privacy."", ""violated_statute"": ""None""}

{""risk_status"": ""Normal"", ""dark_pattern_category"": ""General User Terms"", ""explanation"": ""This clause may negatively affect general user terms."", ""violated_statute"": ""None""}

{""risk_status"": ""Caution"", ""dark_pattern_category"": ""User Rights"", ""explanation"": ""This clause may negatively affect"
"Honey uses cookies, pixel tags, web beacons, and other markers (we’ll just call them “cookies”) to collect some of the data discussed in this Privacy Policy.",Predatory,"
You are a legal AI system.

Analyze the clause:
""""""Honey uses cookies, pixel tags, web beacons, and other markers (we’ll just call them “cookies”) to collect some of the data discussed in this Privacy Policy.""""""

Return ONLY JSON:
{
  ""risk_status"": ""..."",
  ""dark_pattern_category"": ""..."",
  ""explanation"": ""..."",
  ""violated_statute"": ""...""
}
Do not add any text outside JSON.

{""risk_status"": ""Red"", ""dark_pattern_category"": ""User Rights"", ""explanation"": ""This clause may negatively affect user rights and user control."", ""violated_statute"": ""GDPR""}"
Please check the websites of these third parties for details on how they use cookies.,Predatory,"
You are a legal AI system.

Analyze the clause:
""""""Please check the websites of these third parties for details on how they use cookies.""""""

Return ONLY JSON:
{
  ""risk_status"": ""..."",
  ""dark_pattern_category"": ""..."",
  ""explanation"": ""..."",
  ""violated_statute"": ""...""
}
Do not add any text outside JSON.

{""risk_status"": ""Red"", ""dark_pattern_category"": ""User Rights"", ""explanation"": ""This clause may negatively affect user rights and user control."", ""violated_statute"": ""GDPR principles""}

{""risk_status"": ""Green"", ""dark_pattern_category"": ""Tracking & Privacy"", ""explanation"": ""This clause may negatively affect tracking and privacy."", ""violated_statute"": ""None""}

{""risk_status"": ""Amber"", ""dark_pattern_category"": ""General User Terms"", ""explanation"": ""This clause may negatively affect general user terms."", ""violated_statute"": ""None""}

{""risk_status"": ""Green"", ""dark_pattern_category"": ""General User Terms"", ""explanation"": ""This clause is fair."", ""viol"
"We are based in the United States. The Services are controlled and operated by us from the United States and are not intended to subject us to the laws or jurisdiction of any state, country or territory other than that of the United States.",Predatory,"
You are a legal AI system.

Analyze the clause:
""""""We are based in the United States. The Services are controlled and operated by us from the United States and are not intended to subject us to the laws or jurisdiction of any state, country or territory other than that of the United States.""""""

Return ONLY JSON:
{
  ""risk_status"": ""..."",
  ""dark_pattern_category"": ""..."",
  ""explanation"": ""..."",
  ""violated_statute"": ""...""
}
Do not add any text outside JSON.

{""risk_status"": ""Caution"", ""dark_pattern_category"": ""User Rights"", ""explanation"": ""This clause may negatively affect user rights and user control."", ""violated_statute"": ""GDPR principles""}

{""risk_status"": ""Normal"", ""dark_pattern_category"": ""Tracking & Privacy"", ""explanation"": ""This clause may affect user tracking and user privacy."", ""violated_statute"": ""None""}

{""risk_status"": ""Normal"", ""dark_pattern_category"": ""General User Terms"", ""explanation"": ""This clause may negatively affect general user terms."", ""violated_statute"": ""None""}

{""risk_status"": ""Caution"", ""dark_pattern_category"": ""User Rights"", ""explanation"": ""This clause may negatively affect"
"To provide you with promotional and marketing communications. We use Personal Information to send you information about our products and services, as well as updates about our business, where you opt-in to such communications. To opt-out, please see the “Managing Your Information” section, below.",Predatory,"
You are a legal AI system.

Analyze the clause:
""""""To provide you with promotional and marketing communications. We use Personal Information to send you information about our products and services, as well as updates about our business, where you opt-in to such communications. To opt-out, please see the “Managing Your Information” section, below.""""""

Return ONLY JSON:
{
  ""risk_status"": ""..."",
  ""dark_pattern_category"": ""..."",
  ""explanation"": ""..."",
  ""violated_statute"": ""...""
}
Do not add any text outside JSON.

{""risk_status"": ""Dark Pattern"", ""dark_pattern_category"": ""User Rights"", ""explanation"": ""This clause may negatively affect user rights and user control."", ""violated_statute"": ""GDPR""}"
"If you think they can be improved, don't hesitate to submit a pull request (you can do that without special software), preferably to the English version.",Predatory,"
You are a legal AI system.

Analyze the clause:
""""""If you think they can be improved, don't hesitate to submit a pull request (you can do that without special software), preferably to the English version.""""""

Return ONLY JSON:
{
  ""risk_status"": ""..."",
  ""dark_pattern_category"": ""..."",
  ""explanation"": ""..."",
  ""violated_statute"": ""...""
}
Do not add any text outside JSON.

{""risk_status"": ""Caution"", ""dark_pattern_category"": ""User Rights"", ""explanation"": ""This clause may negatively affect user rights and user control."", ""violated_statute"": ""GDPR principles""}

{""risk_status"": ""Normal"", ""dark_pattern_category"": ""Tracking & Privacy"", ""explanation"": ""This clause may affect user tracking and user privacy."", ""violated_statute"": ""None""}

{""risk_status"": ""Normal"", ""dark_pattern_category"": ""User Rights"", ""explanation"": ""This clause is generally fair."", ""violated_statute"": ""None""}

{""risk_status"": ""Normal"", ""dark_pattern_category"": ""Tracking & Privacy"", ""explanation"": ""This clause may affect user tracking and user privacy, but"
"If we learn that we have collected the personal information of a child under 13, or equivalent minimum age depending on jurisdiction, outside the above circumstances we will take steps to delete the information as soon as possible.",Predatory,"
You are a legal AI system.

Analyze the clause:
""""""If we learn that we have collected the personal information of a child under 13, or equivalent minimum age depending on jurisdiction, outside the above circumstances we will take steps to delete the information as soon as possible.""""""

Return ONLY JSON:
{
  ""risk_status"": ""..."",
  ""dark_pattern_category"": ""..."",
  ""explanation"": ""..."",
  ""violated_statute"": ""...""
}
Do not add any text outside JSON.

{""risk_status"": ""Red"", ""dark_pattern_category"": ""User Rights"", ""explanation"": ""This clause may negatively affect user rights and user control."", ""violated_statute"": ""GDPR""}"
"You agree not to upload, post or otherwise transmit any User Content that: violates or infringes in any way upon the rights of others, including any statements which may defame, harass, stalk or threaten others.",Predatory,"
You are a legal AI system.

Analyze the clause:
""""""You agree not to upload, post or otherwise transmit any User Content that: violates or infringes in any way upon the rights of others, including any statements which may defame, harass, stalk or threaten others.""""""

Return ONLY JSON:
{
  ""risk_status"": ""..."",
  ""dark_pattern_category"": ""..."",
  ""explanation"": ""..."",
  ""violated_statute"": ""...""
}
Do not add any text outside JSON.

{""risk_status"": ""Caution"", ""dark_pattern_category"": ""User Rights"", ""explanation"": ""This clause may negatively affect user rights and user control."", ""violated_statute"": ""None""}"
and to terminate Your Account for any reason.,Predatory,"
You are a legal AI system.

Analyze the clause:
""""""and to terminate Your Account for any reason.""""""

Return ONLY JSON:
{
  ""risk_status"": ""..."",
  ""dark_pattern_category"": ""..."",
  ""explanation"": ""..."",
  ""violated_statute"": ""...""
}
Do not add any text outside JSON.

{""risk_status"": ""Dark Pattern"", ""dark_pattern_category"": ""User Rights"", ""explanation"": ""This clause may negatively affect user rights and user control."", ""violated_statute"": ""GDPR principles""}

{""risk_status"": ""Dark Pattern"", ""dark_pattern_category"": ""Transparency"", ""explanation"": ""This clause may negatively affect user understanding of the terms."", ""violated_statute"": ""None""}

{""risk_status"": ""General"", ""dark_pattern_category"": ""None"", ""explanation"": ""This clause does not appear to negatively affect user rights, user control or transparency."", ""violated_statute"": ""None""}

{""risk_status"": ""Fair"", ""dark_pattern_category"": ""None"", ""explanation"": ""This clause"
you forever waive and agree not to claim or assert any entitlement to any and all moral rights of an author in any of the User Content.,Predatory,"
You are a legal AI system.

Analyze the clause:
""""""you forever waive and agree not to claim or assert any entitlement to any and all moral rights of an author in any of the User Content.""""""

Return ONLY JSON:
{
  ""risk_status"": ""..."",
  ""dark_pattern_category"": ""..."",
  ""explanation"": ""..."",
  ""violated_statute"": ""...""
}
Do not add any text outside JSON.

{""risk_status"": ""Unknown"", ""dark_pattern_category"": ""User Rights"", ""explanation"": ""This clause may negatively affect user rights and user control."", ""violated_statute"": ""None""}












































































































































"
"It's fine to criticize ideas, and indeed we support forming groups around topics like ""anti-nuclear power"" or ""pro-nuclear power"". But we will never tolerate the use of this platform to spread hatred.",Predatory,"
You are a legal AI system.

Analyze the clause:
""""""It's fine to criticize ideas, and indeed we support forming groups around topics like ""anti-nuclear power"" or ""pro-nuclear power"". But we will never tolerate the use of this platform to spread hatred.""""""

Return ONLY JSON:
{
  ""risk_status"": ""..."",
  ""dark_pattern_category"": ""..."",
  ""explanation"": ""..."",
  ""violated_statute"": ""...""
}
Do not add any text outside JSON.

{""risk_status"": ""Caution"", ""dark_pattern_category"": ""User Rights"", ""explanation"": ""This clause may negatively affect user rights and user control."", ""violated_statute"": ""None""}"
We may update this Privacy Policy from time to time at our sole discretion.,Predatory,"
You are a legal AI system.

Analyze the clause:
""""""We may update this Privacy Policy from time to time at our sole discretion.""""""

Return ONLY JSON:
{
  ""risk_status"": ""..."",
  ""dark_pattern_category"": ""..."",
  ""explanation"": ""..."",
  ""violated_statute"": ""...""
}
Do not add any text outside JSON.

{""risk_status"": ""Red"", ""dark_pattern_category"": ""User Rights"", ""explanation"": ""This clause may negatively affect user rights and user control."", ""violated_statute"": ""GDPR""}"
"When we post changes to this Privacy Policy, we will revise the ""last updated"" date at the top of this Privacy Policy",Predatory,"
You are a legal AI system.

Analyze the clause:
""""""When we post changes to this Privacy Policy, we will revise the ""last updated"" date at the top of this Privacy Policy""""""

Return ONLY JSON:
{
  ""risk_status"": ""..."",
  ""dark_pattern_category"": ""..."",
  ""explanation"": ""..."",
  ""violated_statute"": ""...""
}
Do not add any text outside JSON.

{""risk_status"": ""Red"", ""dark_pattern_category"": ""User Rights"", ""explanation"": ""This clause may negatively affect user rights and user control."", ""violated_statute"": ""GDPR""}

{
  ""risk_status"": ""Red"",
  ""dark_pattern_category"": ""User Rights"",
  ""explanation"": ""This clause may negatively affect user rights and user control."",
  ""violated_statute"": ""GDPR""
}"
Personal information you provide to us is stored on a password protected server accessible only by administrator.,Predatory,"
You are a legal AI system.

Analyze the clause:
""""""Personal information you provide to us is stored on a password protected server accessible only by administrator.""""""

Return ONLY JSON:
{
  ""risk_status"": ""..."",
  ""dark_pattern_category"": ""..."",
  ""explanation"": ""..."",
  ""violated_statute"": ""...""
}
Do not add any text outside JSON.

{""risk_status"": ""Caution"", ""dark_pattern_category"": ""User Rights"", ""explanation"": ""This clause may negatively affect user rights and user control."", ""violated_statute"": ""GDPR principles""}

{""risk_status"": ""Normal"", ""dark_pattern_category"": ""Tracking & Privacy"", ""explanation"": ""This clause may affect user tracking and user privacy."", ""violated_statute"": ""None""}

{""risk_status"": ""Normal"", ""dark_pattern_category"": ""General User Terms"", ""explanation"": ""This clause may negatively affect general user terms."", ""violated_statute"": ""None""}

{""risk_status"": ""Caution"", ""dark_pattern_category"": ""User Rights"", ""explanation"": ""This clause may negatively affect"
WE DO NOT WARRANT THAT THE SITE WILL MEET YOUR EXPECTATIONS OR REQUIRMENTS.,Predatory,"
You are a legal AI system.

Analyze the clause:
""""""WE DO NOT WARRANT THAT THE SITE WILL MEET YOUR EXPECTATIONS OR REQUIRMENTS.""""""

Return ONLY JSON:
{
  ""risk_status"": ""..."",
  ""dark_pattern_category"": ""..."",
  ""explanation"": ""..."",
  ""violated_statute"": ""...""
}
Do not add any text outside JSON.

{""risk_status"": ""Caution"", ""dark_pattern_category"": ""User Rights"", ""explanation"": ""This clause may negatively affect user rights and user control."", ""violated_statute"": ""GDPR principles""}

{""risk_status"": ""Warning"", ""dark_pattern_category"": ""Tracking & Privacy"", ""explanation"": ""This clause may negatively affect tracking and privacy."", ""violated_statute"": ""None""}

{""risk_status"": ""Critical"", ""dark_pattern_category"": ""General User Terms"", ""explanation"": ""This clause may negatively affect user rights, user control, tracking and privacy."", ""violated_statute"": ""GDPR principles""}

{""risk_status"": ""Dark Pattern"", ""dark_pattern_category"": ""General User Terms"", ""ex"
"contains or advocates pornography or sexually explicit content, pedophilia, incest, bestiality, or that is otherwise obscene or lewd.",Predatory,"
You are a legal AI system.

Analyze the clause:
""""""contains or advocates pornography or sexually explicit content, pedophilia, incest, bestiality, or that is otherwise obscene or lewd.""""""

Return ONLY JSON:
{
  ""risk_status"": ""..."",
  ""dark_pattern_category"": ""..."",
  ""explanation"": ""..."",
  ""violated_statute"": ""...""
}
Do not add any text outside JSON.

{""risk_status"": ""Dark Pattern"", ""dark_pattern_category"": ""User Rights"", ""explanation"": ""This clause may negatively affect user rights and user control."", ""violated_statute"": ""None""}"
"NO CLAIM, SUIT OR ACTION MAY BE BROUGHT AGAINST US AFTER SIX MONTHS FROM THE UNDERLYING CAUSE OF ACTION.",Predatory,"
You are a legal AI system.

Analyze the clause:
""""""NO CLAIM, SUIT OR ACTION MAY BE BROUGHT AGAINST US AFTER SIX MONTHS FROM THE UNDERLYING CAUSE OF ACTION.""""""

Return ONLY JSON:
{
  ""risk_status"": ""..."",
  ""dark_pattern_category"": ""..."",
  ""explanation"": ""..."",
  ""violated_statute"": ""...""
}
Do not add any text outside JSON.

{""risk_status"": ""Red"", ""dark_pattern_category"": ""User Rights"", ""explanation"": ""This clause may negatively affect user rights and user control."", ""violated_statute"": ""None""}"
YOUR USE OF THE SITE AND ITS CONTENT IS AT YOUR OWN RISK,Predatory,"
You are a legal AI system.

Analyze the clause:
""""""YOUR USE OF THE SITE AND ITS CONTENT IS AT YOUR OWN RISK""""""

Return ONLY JSON:
{
  ""risk_status"": ""..."",
  ""dark_pattern_category"": ""..."",
  ""explanation"": ""..."",
  ""violated_statute"": ""...""
}
Do not add any text outside JSON.

{""risk_status"": ""Steps to take"", ""dark_pattern_category"": ""User Rights"", ""explanation"": ""This clause may negatively affect user rights and user control."", ""violated_statute"": ""None""}

{""risk_status"": ""Steps to take"", ""dark_pattern_category"": ""Tracking & Privacy"", ""explanation"": ""This clause may negatively affect tracking and privacy."", ""violated_statute"": ""None""}

{""risk_status"": ""Steps to take"", ""dark_pattern_category"": ""General User Terms"", ""explanation"": ""This clause may negatively affect general user terms."", ""violated_statute"": ""None""}

{""risk_status"": ""Steps to take"", ""dark_pattern_category"": ""User Rights"", ""explanation"": """
