clause,true_label,reference_explanation,mistral_base_risk_status,mistral_base_category,mistral_base_explanation,mistral_base_statute,mistral_base_confidence,mistral_ft_risk_status,mistral_ft_category,mistral_ft_explanation,mistral_ft_statute,mistral_ft_confidence,groq_base_risk_status,groq_base_category,groq_base_explanation,groq_base_statute,groq_base_confidence,groq_few_shot_risk_status,groq_few_shot_category,groq_few_shot_explanation,groq_few_shot_statute,groq_few_shot_confidence,groq_rag_risk_status,groq_rag_category,groq_rag_explanation,groq_rag_statute,groq_rag_confidence
"You must be at least 18 years old to access or use the Services. By registering to use our Services, you represent that you are at least 18 years old.",Predatory,This clause may negatively affect user rights and user control.,Unknown,General Terms,...,None,0,Predatory,General Terms,This clause may negatively affect user rights and user control.,None,2,Predatory,General Terms,"This clause attempts to restrict access to the Services based on age, but it may not be effective in preventing minors from accessing the Services. The representation of age is also not verified.",None,2,Fair,General Terms,"The clause attempts to verify user age, but may not be effective in preventing minors from accessing the Services.",None,2,Predatory,User Rights,"The clause fails to provide sufficient information about the processing of personal data. Under GDPR, data subjects must be informed about the purposes of the processing, the types of personal data collected, and the recipients of the data (GDPR Article 13). By not disclosing this information, the clause may be considered opaque and potentially misleading. Furthermore, the clause does not specify the lawful basis for processing personal data, which is a requirement under GDPR Article 6. The age restriction of 18 years old may also be seen as a condition for accessing the Services, which could imply that consent is required for processing personal data. However, the clause does not explicitly state that consent is required, which may lead to ambiguity.",GDPR Article 13,3
"If you would like to stop us using your personal information, you shall request that we erase your personal information and close your ISODME Account with all of its related Services.",Predatory,This clause may negatively affect user rights and user control.,Unknown,General Terms,...,None,0,Unknown,General Terms,This clause may negatively affect user rights and user control.,None,1,Predatory,General Terms,"The clause is unclear about the consequences of requesting data erasure and account closure, and may be considered a dark pattern.",GDPR Article 12,3,Fair,Transparency,The clause provides a clear process for users to request deletion of their personal information.,None,2,Predatory,User Rights,"The clause does not clearly specify how the data subject's personal information is being used, nor does it provide information on the risks involved in processing their data. This lack of transparency is particularly concerning given the context that the data subject has given their consent as a child and may not be fully aware of the risks involved. Furthermore, the clause does not provide any information on the legitimate interests of the controller, which is a requirement under GDPR Article 6(1)(f).",GDPR Article 13,3
"To the extent permitted by applicable law, you agree to defend, indemnify and hold harmless the Websites, their site operator, their parent corporation, their respective affiliates, licensors, service providers, officers, directors, employees, agents, successors and assigns from and against any and all claims, damages, judgments, awards, obligations, losses, liabilities, costs or debt, and expenses (including but not limited to attorney’s fees)&nbsp;arising from: (i)&nbsp;your use of and access to the Websites. (ii)&nbsp;your violation of any term of these Terms of Service. (iii)&nbsp;your violation of any third party right, including without limitation any copyright, property, or privacy right. or (iv)&nbsp;any claim that your Content caused damage to a third party.",Predatory,This clause may negatively affect tracking and privacy.,Unknown,General Terms,...,None,0,Unknown,Tracking & Privacy,This clause may negatively affect tracking and privacy.,None,1,Predatory,General Terms,"This clause is a form of dark pattern, where the user is forced to take on excessive liability for the website's actions. It can be used to silence users who report issues or express dissent.",GDPR Article 5,3,Predatory,General Terms,"The clause imposes broad liability on the user for any claims arising from their use of the Websites, potentially limiting their rights and increasing the risk of financial loss.",None,2,Predatory,User Rights,"This clause contains a broad indemnification agreement that may be considered a hidden term, potentially forcing users to agree to it without their explicit consent. Under GDPR, data subjects must be informed about the processing of their personal data and provide their consent freely, without any undue influence or coercion. The clause's language may be seen as coercive, as users are required to defend and indemnify the Websites and their affiliates from any claims arising from their use of the Websites. This could be interpreted as a condition for using the service, which may not be necessary for the performance of the contract. Furthermore, the clause does not provide users with clear information about how their personal data will be processed or used, which is a requirement under GDPR Article 13.",GDPR Article 13,3
UpCloud does not store personal data longer than is legally permitted and necessary for the purposes of providing the Services or the relevant parts thereof.,Predatory,This clause may negatively affect user rights and user control.,Unknown,General Terms,...,None,0,Unknown,General Terms,This clause may negatively affect user rights and user control.,None,1,Fair,General Terms,"The clause provides a general statement about data retention, but it lacks specificity regarding the legal basis for the retention period and the purposes for which the data is used.",GDPR Article 5,3,Fair,General Terms,"The clause adheres to data retention regulations, ensuring data is stored only as long as necessary.",None,2,Fair,General Terms,"The clause provides a clear indication of UpCloud's data retention policy, aligning with the principle of limiting data storage to what is necessary for the provision of services. This aligns with the GDPR's emphasis on appropriate conditions and safeguards for scientific research and archiving purposes (GDPR Article 6). However, it does not explicitly address the lawful basis for data processing or the conditions for data sharing, which might be considered a limitation in terms of transparency.",None,2
"ACCESS TO, AND USE OF, THE SERVICES IS AT YOUR OWN DISCRETION AND RISK, AND YOU WILL BE SOLELY RESPONSIBLE FOR ANY DAMAGE TO YOUR DEVICE OR COMPUTER SYSTEM, OR LOSS OF DATA RESULTING THEREFROM.",Predatory,This clause may negatively affect general user terms.,Unknown,General Terms,...,None,0,Unknown,General Terms,This clause may negatively affect general user terms.,None,1,Unknown,General Terms,"This clause shifts the responsibility of potential damage or loss from the service provider to the user, making it a classic example of a dark pattern.",None,1,Predatory,General Terms,"The clause shifts liability from the service provider to the user, potentially leaving users unprotected.",None,2,Predatory,Transparency,"This clause shifts the responsibility of potential damage or loss to the user, without providing any clear information about data processing or user rights. Under GDPR, data controllers must provide transparent information about data processing, including the purposes, legal basis, and duration of processing (GDPR Article 13). This clause fails to meet these requirements, making it a predatory practice.",GDPR Article 13,3
"AND USERS WAIVE CERTAIN RIGHTS TO PARTICIPATE IN CLASS ACTIONS (AS DETAILED IN THE DISPUTE RESOLUTION, ARBITRATION AND CLASS ACTION WAIVER IN SECTION 19 BELOW).",Predatory,This clause may negatively affect user rights and user control.,Unknown,General Terms,...,None,0,Unknown,General Terms,This clause may negatively affect user rights and user control.,None,1,Predatory,General Terms,"This clause attempts to waive users' rights to participate in class actions, which may be considered a dark pattern. It is likely to be used to prevent users from seeking collective redress for grievances.",GDPR Article 1750,3,Predatory,General Terms,"The clause restricts users' rights to participate in class actions, potentially limiting their ability to seek collective redress.",GDPR Article 382,3,Predatory,Transparency,"This clause appears to be a 'dark pattern' as it forces users to waive certain rights to participate in class actions without providing a clear explanation of the implications. Under GDPR, data subjects must be informed about the processing of their personal data and have the right to object to such processing (GDPR Article 21). This clause seems to undermine the right to participate in class actions, which is a fundamental right in many jurisdictions. Furthermore, the lack of transparency and the forced agreement to waive certain rights may be considered a violation of the principle of transparency (GDPR Article 12).",GDPR Article 21,3
"ASKfm uses cookies and similar technologies, such as web beacons or pixel tags, to deliver, measure, and improve our services in various ways.",Predatory,This clause may negatively affect general user terms.,Fair,Tracking & Privacy,The clause is a clear and concise statement about the use of cookies and similar technologies by ASKfm. It does not contain any language that would be considered misleading or manipulative.,None,2,Unknown,General Terms,This clause may negatively affect general user terms.,None,1,Fair,Tracking & Privacy,"The clause is transparent about the use of cookies and similar technologies, but it does not provide clear information about how users can opt-out or manage their data.",GDPR Article 12,3,Predatory,User Rights,The clause uses vague language to describe tracking technologies without clear consent.,GDPR Article 5,3,Predatory,Tracking & Privacy,"The clause does not explicitly inform users about the purpose of using cookies and similar technologies, nor does it provide any information about the types of data collected. This lack of transparency violates GDPR Article 13, which requires controllers to provide clear and concise information about the processing of personal data. Furthermore, the clause does not indicate whether the use of cookies is necessary for the provision of a service, which could be seen as an attempt to force agreement from users. This behavior is in line with the definition of a 'dark pattern' and raises concerns about the legitimacy of the data processing.",GDPR Article 13,3
"You agree and confirm that your use of the Platform, including the Counselor Services, are for your own personal use only and that you are not using the Platform or the Counselor Services for or behalf of any other person or organization.",Predatory,This clause may negatively affect user rights and user control.,Fair,General Terms,This clause is a standard non-disclosure provision intended to prevent users from sharing or disclosing the Platform or Counselor Services to third parties.,None,2,Predatory,General Terms,This clause may negatively affect user rights and user control.,None,2,Unknown,User Rights,"This clause attempts to limit the user's ability to use the platform for others, potentially restricting their freedom of choice and forcing them to agree to a one-sided agreement.",GDPR Article 1798,2,Predatory,General Terms,The clause restricts user rights by limiting the use of the Platform to personal use only.,GDPR Article 1798,3,Predatory,User Rights,"The clause implies that the use of the Platform and Counselor Services is conditional on the user's agreement to not use it on behalf of another person or organization. This may be seen as an attempt to restrict the user's rights and freedoms, particularly in the context of children who may not fully understand the implications of such a restriction. Under GDPR, the consent of the holder of parental responsibility should not be necessary in the context of preventive or counselling services offered directly to a child (GDPR Article 39). Furthermore, any processing of personal data should be lawful and fair (GDPR Article 5). The clause's requirement may be seen as a condition for the provision of a service that is not necessary for the performance of that contract, which could impact the user's ability to give freely given consent. GDPR Article 8, which deals with the conditions applicable to a child's consent in relation to information society services, may also be relevant in this context.",GDPR Article 5,3
"Wenn Du Dich bei der fotocommunity abmeldest, werden, soweit möglich und gesetzlich zugelassen, Deine Daten nach spätestens zwei Monaten gelöscht.",Predatory,This clause is fair and user-friendly.,Fair,General Terms,This clause is a standard data deletion provision. It is a common practice for companies to provide users with the ability to delete their data upon request. This clause does not contain any elements of dark patterns.,None,2,Unknown,General Terms,This clause is fair and user-friendly.,None,0,Predatory,General Terms,"The clause does not clearly specify what data will be deleted, and the term 'soweit möglich' (as far as possible) may be used to avoid deleting certain data. Additionally, the deletion of data may not be immediate, as it is delayed by at least two months.",GDPR Article 17,3,Fair,General Terms,"The clause allows for data deletion with a two-month delay, which is a reasonable timeframe.",None,2,Predatory,Transparency,"The clause does not provide a clear overview of the intended processing of user data. Under GDPR, data subjects must be informed about the processing of their personal data in an easily visible, intelligible, and clearly legible manner, particularly in the audiovisual field (GDPR Article 13). The provided information does not meet these requirements, as it only mentions the deletion of data after two months without specifying the types of data processed or the purposes of the processing.",GDPR Article 13,3
Please check the websites of these third parties for details on how they use cookies.,Predatory,This clause may negatively affect general user terms.,Fair,Tracking & Privacy,This clause is informing the user to check the websites of third parties for details on how they use cookies. It is not a dark pattern as it is providing transparency and control to the user.,None,2,Unknown,General Terms,This clause may negatively affect general user terms.,None,1,Fair,Tracking & Privacy,"This clause is a dark pattern as it shifts the burden of transparency to the user, rather than providing clear information about how cookies are used.",GDPR Article 5,3,Predatory,General Terms,"The clause shifts responsibility for data usage to third-party websites, potentially misleading users.",GDPR Article 1798,3,Predatory,Tracking & Privacy,"The provided clause shifts the burden of information on data processing to the data subject, requiring them to check third-party websites for details on cookie usage. This approach fails to provide clear and concise information about how cookies are used, as mandated by GDPR Article 13, which requires controllers to provide transparent and easily accessible information about data processing. Furthermore, GDPR Article 30 emphasizes the importance of indicating authorized persons within the same controller, which is not directly applicable here but highlights the need for transparency in data processing.",GDPR Article 13,3
"To the extent permitted by law, any Dispute under these Terms must be filed within one (1) year in an arbitration proceeding. The one-year period begins when the events giving rise to the Dispute first occur. If a Dispute is not filed within one year, it is permanently barred.",Predatory,This clause may negatively affect general user terms.,Unknown,General Terms,...,None,0,Unknown,General Terms,This clause may negatively affect general user terms.,None,1,Predatory,General Terms,"This clause may be considered a dark pattern as it limits the time frame for disputing a claim, potentially preventing users from seeking justice. The one-year period may be too short for certain types of disputes, such as those involving ongoing harm or delayed discovery.",None,2,Predatory,General Terms,"The clause imposes a strict time limit for filing disputes, potentially limiting users' access to justice.",GDPR Article 6,3,Predatory,General Terms,"The clause restricts users' ability to seek redress for disputes, potentially limiting their access to an effective judicial remedy. Under GDPR, data subjects have the right to an effective judicial remedy (GDPR Article 78), which is not guaranteed in this clause. Furthermore, the clause's time limit for filing a dispute may be seen as unclear and potentially coercive, which could be considered a dark pattern.",GDPR Article 78,3
"STiBaRC (the organization), moderators, and the owner (Joshua Herron, aka herronjo), collectively referred to as they, reserve the right to remove or modify posts or content as needed, whether or not they violate any of the content policies defined above.",Predatory,This clause may negatively affect user rights and user control.,Unknown,General Terms,...,None,0,Predatory,General Terms,This clause may negatively affect user rights and user control.,None,2,Predatory,General Terms,"This clause allows the moderators and owner to remove or modify posts without clear justification, potentially suppressing user voices and limiting transparency.",GDPR Article 18,3,Predatory,General Terms,The clause grants broad discretion to moderators and the owner to remove or modify content without clear guidelines or appeal process.,GDPR Article 22582,3,Predatory,Transparency,"The clause does not explicitly mention how user data is processed or what data is being processed. Under GDPR, data subjects must be informed about the purposes of data processing, as stated in GDPR Article 13. This clause fails to provide necessary transparency, potentially hiding the true intentions of data processing.",GDPR Article 13,3
Any conduct that in CNN's sole discretion restricts or inhibits anyone else from using or enjoying the Site will not be permitted.,Predatory,This clause may negatively affect user rights and user control.,Unknown,General Terms,...,None,0,Predatory,General Terms,This clause may negatively affect user rights and user control.,None,2,Predatory,General Terms,"This clause grants CNN sole discretion to restrict user conduct, which may lead to arbitrary and unfair enforcement.",GDPR Article 18,3,Predatory,General Terms,"The clause grants CNN sole discretion to restrict user behavior, potentially limiting user rights.",GDPR Article 22582,3,Predatory,Transparency,"The clause grants CNN sole discretion to restrict or inhibit users from using the Site, which may lead to arbitrary and opaque decision-making. This could potentially infringe upon users' rights to access and enjoy the Site, as well as their right to freedom of expression and information (GDPR Article 11). Furthermore, the clause does not provide any clear information about how users' personal data will be processed or protected, which is a requirement under GDPR Article 13. The lack of transparency and potential for arbitrary decision-making makes this clause predatory.",GDPR Article 13,3
These analytics and reports may include aggregate or pseudonymized information.,Predatory,This clause is generally fair.,Fair,Transparency,"This clause informs the user that the analytics and reports they will receive may include aggregate or pseudonymized information. This is a common practice in data analytics and is generally considered to be transparent as long as the data is not personally identifiable. However, it is important for the user to understand what exactly is meant by 'aggregate' and 'pseudonymized' information, and whether they have any control over how their data is used in this context.",None,2,Unknown,General Terms,This clause is generally fair.,None,0,Fair,Transparency,"The clause allows for the collection of aggregate or pseudonymized information, which may be considered a violation of data minimization principles.",GDPR Article 5,3,Fair,General Terms,"The clause allows for the sharing of anonymized data, which reduces the risk of user data exposure.",None,2,Fair,User Rights,"The provided clause is transparent about the use of pseudonymized information in analytics and reports. This aligns with the principle of transparency regarding the functions and processing of personal data, as mentioned in the GDPR context. However, it does not provide explicit information about the purposes of data processing, which is a requirement under GDPR Article 13. Nevertheless, the clause does not appear to be predatory as it does not force agreement, hide terms, or lack consent.",GDPR Article 13,3
If the contract is ended prematurely (by either party) any remaining credit can be refunded.,Predatory,This clause may negatively affect user rights and user control.,Fair,General Terms,"This clause appears to be a standard term in contracts, allowing for the refund of any remaining credit if the contract is terminated prematurely. It does not appear to be a dark pattern as it is providing a benefit to the consumer.",None,2,Predatory,General Terms,This clause may negatively affect user rights and user control.,None,2,Fair,General Terms,"This clause may be considered unfair because it does not specify the conditions under which the contract can be ended prematurely, potentially allowing one party to unilaterally terminate the contract and retain the credit.",GDPR Article 2008,3,Fair,General Terms,The clause provides a clear refund policy in case of contract termination.,None,2,Fair,User Rights,"This clause does not appear to violate any GDPR principles. It is a standard provision related to contract termination and refund of remaining credit. There is no indication of data processing, sharing, or tracking. The clause does not impact user rights, transparency, or consent. It is a straightforward business term.",None,2
"you can select a non identifying login name and change it at any time you want, you are not required to include personal data in diary posts, comments, email listserv, the wiki, or other OSM communications methods,",Predatory,This clause is generally fair.,Fair,General Terms,"This clause promotes transparency and control by allowing users to choose a non-identifying login name and providing them with the freedom to change it at any time. Additionally, users are not required to include personal data in various communications methods, which further enhances their privacy and control over their online presence.",None,2,Unknown,General Terms,This clause is generally fair.,None,0,Fair,General Terms,"This clause provides users with the option to choose a non-identifying login name and the flexibility to change it at any time. Additionally, it gives users the choice to exclude personal data from various OSM communications methods.",GDPR Article 1798,3,Fair,General Terms,The clause provides users with options to maintain anonymity and control over personal data.,None,2,Fair,General Terms,"The clause allows users to select a non-identifying login name and change it at any time, which supports their right to control their personal data. Additionally, users are not required to include personal data in various OSM communications methods, which aligns with the principle of processing personal data only if the purpose of the processing could not reasonably be fulfilled by other means (GDPR Article 5(1)(c)).",None,2
Apple will be permitted to terminate only after giving you 30 days’ notice and only if you have not cured the breach within such 30-day period.,Predatory,"This clause may negatively affect user rights, but user control is still possible.",Fair,General Terms,This clause is a standard termination for cause provision. It allows Apple to terminate the agreement only after providing a 30-day notice and only if the other party has not cured the breach within that period.,None,2,Unknown,General Terms,"This clause may negatively affect user rights, but user control is still possible.",None,1,Predatory,General Terms,"This clause may be considered a dark pattern as it gives Apple an unfair advantage by allowing them to terminate the contract without giving the user a chance to cure the breach, effectively penalizing the user for not being able to fix the issue within the 30-day period.",None,2,Fair,General Terms,"The clause provides a reasonable notice period for termination, allowing users to take corrective action.",None,2,Predatory,Transparency,"The given clause allows Apple to terminate the agreement without specifying the grounds for termination. This could be seen as a lack of transparency, as it does not provide clear information about the circumstances under which the agreement can be terminated. Under GDPR, data subjects have the right to be informed about the processing of their personal data, including the purposes and duration of the processing (GDPR Article 13). Furthermore, the clause does not provide any information about the consequences of termination, which could be a breach of the right to access and rectification (GDPR Article 15).",GDPR Article 13,3
